id,tenant_id,class_id,group_id,full_name,sex,birth_date,cpf,phone,email,mother_name,father_name,photo_url,notes,sport_modality,weekly_frequency,practice_time_months,has_disability,disability_type,medical_notes,is_active,created_at,updated_at,demo_data,rg,guardian_name,guardian_relationship,guardian_phone,guardian_email,address_zip,address_street,address_number,address_complement,address_neighborhood,address_city,address_state,portal_enabled,portal_token,portal_token_created_at,portal_last_access,portal_views,portal_slug
fb7e22df-a871-4393-b310-1eebf3fc0364,819b08a7-38d4-4d1d-87f0-82f74eba90a9,,,Teste aluno,male,2015-03-17,,,,,,,,,,,f,,,t,2026-06-17 22:00:28.596843+00,2026-06-17 22:00:28.596843+00,f,,,,,,,,,,,,,f,,,,0,
7508f2a1-5347-4805-ae93-39ac8ac700e4,07cc7290-5d3f-421b-a514-b21d6a683494,db9e5ccc-f3d9-41b6-9adf-2ebaa1d9c283,,Gustavo Pinto Araújo,male,2015-09-21,775.925.575-75,(85) 99825-7275,gustavo.pinto75@demo.aluno.com,Maria Pinto Araújo,José Pinto Araújo,,,,,,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,25.825.725-5,Maria Pinto Araújo,Pai,(25) 97475-6675,resp.0075@demo.aluno.com,01275-075,Rua Tiradentes,1726,,Centro,Guarulhos,SP,f,,,,0,
76af782e-60ca-442c-b223-338d08345d2c,07cc7290-5d3f-421b-a514-b21d6a683494,014c1331-0acd-4e6a-b880-df8da0af4fea,fc328287-0a14-4985-b9e4-6cc56fbe6dd6,Felipe Gomes Rocha,male,2012-07-25,012.844.996-88,(92) 99956-7372,felipe.gomes76@demo.aluno.com,Sandra Gomes Rocha,Marcos Gomes Rocha,,,Atletismo,2,58,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,56.036.228-6,Sandra Gomes Rocha,Mãe,(36) 97708-6764,resp.0076@demo.aluno.com,01292-116,Rua do Comércio,1749,Apto 77,Mooca,Contagem,MG,f,,,,0,
776c21d0-dd6e-4c07-b6ed-ad0e66450522,07cc7290-5d3f-421b-a514-b21d6a683494,df7d4151-8c32-4eea-bca8-7df20787ab0a,a9c30b1c-70a8-4bab-a6cb-fbed65d54c20,Bianca Ramos Santos,female,2008-10-01,249.763.417-01,(99) 90087-7469,bianca.ramos77@demo.aluno.com,Mônica Ramos Santos,André Ramos Santos,,,Natação,3,65,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,87.247.731-7,Mônica Ramos Santos,Mãe,(47) 97941-6853,resp.0077@demo.aluno.com,01309-157,Rua General Câmara,1772,,Pinheiros,Santo André,SP,f,,,,0,
77795eb4-fd27-4a8f-a249-e5631c0ef3ce,07cc7290-5d3f-421b-a514-b21d6a683494,1ebcd8e5-851e-48fb-b8b3-88ca95a326b7,,Tainá Freitas Carvalho,female,2009-06-09,486.682.838-14,(16) 90218-7566,taina.freitas78@demo.aluno.com,Cristina Freitas Carvalho,José Freitas Carvalho,,,Futebol,4,12,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,18.458.234-8,Cristina Freitas Carvalho,Mãe,(58) 98174-6942,resp.0078@demo.aluno.com,01326-198,Av. Getúlio Vargas,1795,,Boa Vista,Belo Horizonte,MG,f,,,,0,
779f50e0-b76e-4ed7-a1fa-501497223139,07cc7290-5d3f-421b-a514-b21d6a683494,3d9c94c7-2fe4-44e3-88b4-dcfa0a656e75,,João Nascimento Nascimento,male,2014-11-23,723.601.259-27,(23) 90349-7663,joao.nascimento79@demo.aluno.com,Juliana Nascimento Nascimento,Marcos Nascimento Nascimento,,,,,,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,49.669.737-9,Juliana Nascimento Nascimento,Mãe,(69) 98407-7031,resp.0079@demo.aluno.com,01343-239,Av. Beira-Mar,1818,,Sumaré,Campinas,SP,f,,,,0,
79703351-7d9e-443e-ab7b-889e4ae83fd5,07cc7290-5d3f-421b-a514-b21d6a683494,db9e5ccc-f3d9-41b6-9adf-2ebaa1d9c283,,Igor Mendes Mendes,male,2015-03-03,960.520.680-40,(30) 90480-7760,igor.mendes80@demo.aluno.com,Maria Mendes Mendes,André Mendes Mendes,,,Ginástica,2,26,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,80.880.240-0,Maria Mendes Mendes,Pai,(80) 98640-7120,resp.0080@demo.aluno.com,01360-280,Rua das Acácias,1841,Apto 81,Tatuapé,São Bernardo,SP,f,,,,0,
7b90d202-8ddd-42eb-bf7b-3ed6f18e0d8b,07cc7290-5d3f-421b-a514-b21d6a683494,198f8843-c411-4d10-bc14-21142a59c69d,3a152c3d-909d-4c67-89ff-1a674a3196dc,Caio Ferreira Teixeira,male,2014-01-22,197.439.101-53,(37) 90611-7857,caio.ferreira81@demo.aluno.com,Sandra Ferreira Teixeira,José Ferreira Teixeira,,,Futsal,3,33,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,11.091.743-1,Sandra Ferreira Teixeira,Mãe,(91) 98873-7209,resp.0081@demo.aluno.com,01377-321,Rua XV de Novembro,1864,,Liberdade,São Paulo,SP,f,,,,0,
7cd886bd-c6d9-4025-a753-65fbf43dfd08,07cc7290-5d3f-421b-a514-b21d6a683494,df7d4151-8c32-4eea-bca8-7df20787ab0a,675b336a-7f53-4547-afca-ffa67a950b38,Samuel Rocha Gomes,male,2009-07-01,434.358.522-66,(44) 90742-7954,samuel.rocha82@demo.aluno.com,Mônica Rocha Gomes,Marcos Rocha Gomes,,,Vôlei,4,40,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,42.302.246-2,Mônica Rocha Gomes,Mãe,(12) 99106-7298,resp.0082@demo.aluno.com,01394-362,Rua das Palmeiras,1887,,Vila Mariana,Osasco,SP,f,,,,0,
7d26c28e-b9f4-4297-9274-f707bbe7fdec,07cc7290-5d3f-421b-a514-b21d6a683494,a41bdeea-4193-4142-a090-727b70dd9f16,,Miguel Rodrigues Oliveira,male,2013-03-15,671.277.943-79,(51) 90873-8051,miguel.rodrigues83@demo.aluno.com,Cristina Rodrigues Oliveira,André Rodrigues Oliveira,,,,,,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,73.513.749-3,Cristina Rodrigues Oliveira,Mãe,(23) 99339-7387,resp.0083@demo.aluno.com,01411-403,Av. Paulista,1910,,Perdizes,Uberlândia,MG,f,,,,0,
7df71955-e4e9-4b60-aa28-4cfb48fbd812,07cc7290-5d3f-421b-a514-b21d6a683494,d5f63646-432f-4cdf-866f-b68b0273e056,,João Nascimento Nascimento,male,2011-05-26,908.196.364-92,(58) 91004-8148,joao.nascimento84@demo.aluno.com,Juliana Nascimento Nascimento,José Nascimento Nascimento,,,Handebol,2,54,f,,,t,2026-06-19 09:12:14.107688+00,2026-06-21 16:47:59.841799+00,t,04.724.252-4,Juliana Nascimento Nascimento,Mãe,(34) 99572-7476,resp.0084@demo.aluno.com,01428-444,Av. Independência,1933,Apto 85,Vila Nova,Guarulhos,SP,f,,,,0,
